Buffer,Time
1,0.000058
101,0.000001
201,0.000001
301,0.000007
401,0.000000
501,0.000000
601,0.000001
701,0.000001
801,0.000001
901,0.000001
1001,0.000000
1101,0.000001
1201,0.000001
1301,0.000001
1401,0.000000
1501,0.000040
1601,0.000003
1701,0.000000
1801,0.000000
1901,0.000000
2001,0.000001
2101,0.000000
2201,0.000000
2301,0.000001
2401,0.000001
2501,0.000001
2601,0.000000
2701,0.000000
2801,0.000000
2901,0.000000
3001,0.000000
3101,0.000000
3201,0.000001
3301,0.000001
3401,0.000001
3501,0.000001
3601,0.000002
3701,0.000001
3801,0.000001
3901,0.000002
4001,0.000001
4101,0.000004
4201,0.000002
4301,0.000002
4401,0.000002
4501,0.000002
4601,0.000001
4701,0.000001
4801,0.000001
4901,0.000002
5001,0.000002
5101,0.000002
5201,0.000002
5301,0.000002
5401,0.000002
5501,0.000001
5601,0.000001
5701,0.000002
5801,0.000002
5901,0.000002
6001,0.000002
6101,0.000002
6201,0.000002
6301,0.000002
6401,0.000002
6501,0.000002
6601,0.000002
6701,0.000005
6801,0.000002
6901,0.000001
7001,0.000001
7101,0.000002
7201,0.000002
7301,0.000002
7401,0.000002
7501,0.000002
7601,0.000002
7701,0.000004
7801,0.000002
7901,0.000002
8001,0.000003
8101,0.000006
8201,0.000003
8301,0.000003
8401,0.000002
8501,0.000003
8601,0.000002
8701,0.000003
8801,0.000004
8901,0.000003
9001,0.000003
9101,0.000003
9201,0.000003
9301,0.000003
9401,0.000003
9501,0.000003
9601,0.000003
9701,0.000003
9801,0.000003
9901,0.000003
10001,0.000003
10101,0.000003
10201,0.000002
10301,0.000003
10401,0.000002
10501,0.000002
10601,0.000003
10701,0.000002
10801,0.000003
10901,0.000003
11001,0.000003
11101,0.000003
11201,0.000003
11301,0.000003
11401,0.000002
11501,0.000003
11601,0.000002
11701,0.000002
11801,0.000002
11901,0.000003
12001,0.000003
12101,0.000003
12201,0.000004
12301,0.000003
12401,0.000003
12501,0.000003
12601,0.000003
12701,0.000004
